id,name,popularity
2Fxmhks0bxGSBdJ92vM42m,bad guy,95
6MWtB6iiXyIwun0YzU6DFP,Wow.,88
4y3OI86AEP6PQoDE6olYhO,Sucker,88
5p7ujcrUXASCNwRaWNHR1C,Without Me,87
6u7jPi22kF8CTQ3rb9DHE7,Old Town Road (feat. Billy Ray Cyrus) - Remix,94
3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),95
6LsAAHotRLMOHfCsSfYCsz,If I Can't Have You,91
4MsUsFfWseB9M2plGJyuIw,ME! (feat. Brendon Urie of Panic! At The Disco),87
2gOlrge3YTmYPwsCGgU62K,Every time we touch,18
4ycxTFeO4ZADJwJZaMGMYb,Mr. Saxobeat - Radio Edit,6
3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us - feat. Ray Dalton,78
5ka2ajep9OAvU5Sgduhiex,Applause,66
4TsmezEQVSZNNPv5RJ65Ov,Pon de Replay,71
7qiZfU4dY1lWllzX7mPBI3,Shape of You,84
4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),73
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,80
6b8Be6ljOzmkOmFslEb23P,24K Magic,75
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk,78
0tgVpDi06FyKpA1z0VMD4v,Perfect,84
6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",75
27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,73
5b88tNINg4Q4nrRbrCXUmg,"Happy - From ""Despicable Me 2""",76
5jE48hhRu8E6zBDPRSkEq7,All About That Bass,65
01XFgRZfZI7oBagNf1Loml,Harlem Shake,55
4VC5nFbYO4avKksJ9jN4pY,Just Give Me a Reason (feat. Nate Ruess),57
6F5c58TMEs1byxUstkzVeM,Roar,74
2VxeLyX666F8uXCJ0dZF8B,Shallow,87
7FGq80cy8juXBCD2nrqdWU,Eastside (with Halsey & Khalid),78
2XWjPtKdi5sucFYtVav07d,365,76
4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",84
79esEXlqqmq0GPz0xQSZTV,Lost In Japan,79
3Vo4wInECJQuz9BIBMOu8i,Finesse - Remix; feat. Cardi B,76
7y9iMe8SOB6z3NoHE2OfXl,Bad At Love,75
6Qn5zhYkTa37e91HC1D7lb,Whatever It Takes,79
1zB4vmk8tFRmM9UULNzbLB,Thunder,83
514rhnksEwHUh6LxXsQ4Y9,Back To You,72
2QZ7WLBE8h2y1Y5Fb8RYbH,In My Blood,81
275a9yzwGB6ncAW4SxY7q3,Panda,67
6Knv6wdA0luoMUuuoYi2i1,My House,73
76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean,77
3QGsuHI8jO1Rx4JWLUh9jd,Treat You Better,81
37FXw5QGFN7uwwsLy8uAc0,We Don't Talk Anymore,68
