id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10080,D1 -  Million Dollar View 2 BR,30899,Rami,,Downtown,49.28772,-123.1211,Entire home/apt,150,60,16,2017-02-26,0.18,32,257
11400,Central Lovely Rm in Victorian Home,42305,Jaynne,,Riley Park,49.25376,-123.11266,Private room,60,364,70,2016-06-14,0.62,1,365
13188,Garden level studio in ideal loc.,51466,Family Guns,,Riley Park,49.24577,-123.10516,Entire home/apt,119,2,186,2019-04-28,1.66,1,237
13357,! Wow! 2bed 2bath 1bed den Harbour View Apartment!,52118,Liliana,,Downtown Eastside,49.27955,-123.10546,Entire home/apt,154,30,56,2018-08-31,0.50,3,256
13490,Vancouver's best kept secret,52467,Iris,,Kensington-Cedar Cottage,49.2555,-123.06696,Entire home/apt,145,30,82,2018-09-30,0.85,1,258
14267,EcoLoft Vancouver,56030,Peter & Alison,,Kensington-Cedar Cottage,49.24974,-123.08108,Entire home/apt,140,7,31,2018-07-08,0.30,1,15
16254,Close to PNE/Hastings Park and East Village,63238,Jason,,Hastings-Sunrise,49.27734,-123.04152,Private room,220,3,3,2018-08-26,0.32,1,235
16611,Broadway skytrain station,58512,Q,,Grandview-Woodland,49.26382,-123.07194,Entire home/apt,1200,31,3,2018-02-16,0.18,2,90
17158,Vancouver 4br 3ba house 20min to DT,48673,Elaine,,Renfrew-Collingwood,49.25195,-123.0355,Entire home/apt,136,4,5,2018-03-31,0.05,1,220
17765,"Central location, nice little apartment",68672,James,,Mount Pleasant,49.26181,-123.10905,Entire home/apt,119,5,172,2019-01-03,2.14,1,25
18270,private rm in clean central 2BR apt,70437,Ran,,Mount Pleasant,49.26564,-123.09524,Private room,55,30,117,2018-10-31,1.18,2,276
18589,Commercial Drive B&B,71508,Sylvain & Alexis,,Grandview-Woodland,49.27427,-123.07063,Private room,81,1,340,2019-05-08,3.52,1,0
18795,*Best choice in downtown-5 Stars *,70137,Kai,,West End,49.28251,-123.12827,Private room,95,3,103,2019-05-08,1.05,3,247
19527,Charming Apartment in South Granville,74129,Bevin,,Fairview,49.26117,-123.13535,Entire home/apt,107,1,21,2019-05-03,0.19,1,76
19621,2 bedroom in prime Downtown Location-Yaletown,74380,Shirin,,Downtown,49.27354,-123.11848,Entire home/apt,191,120,0,,,1,173
20085,Bright & Cheerful Uptown Garden Suite,75986,Tony And Rachel,,Mount Pleasant,49.25732,-123.08545,Entire home/apt,110,30,71,2019-01-17,0.63,1,254
20566,Downtown Vancouver Perfect Suite,77672,Shona,,West End,49.28219,-123.12503,Entire home/apt,235,3,42,2019-01-02,0.37,1,178
21912,PRIVATE ROOM + BATH + KING BED + SEPARATE ENTRY,83871,Adam,,Renfrew-Collingwood,49.23365,-123.05439,Private room,50,2,289,2019-05-09,3.03,3,239
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),83871,Adam,,Renfrew-Collingwood,49.23427,-123.05309,Entire home/apt,64,30,201,2019-04-30,2.20,3,235
24273,"Walker's paradise in Kitsilano
License # (Phone number hidden by Airbnb)",1267409,Julia,,Kitsilano,49.2626,-123.17308,Entire home/apt,301,2,6,2018-12-31,0.08,2,256
26047,The Alpha Downtown Accommodation by COMFYSUITES,109845,Alicia,,Downtown,49.27933,-123.12377,Entire home/apt,158,30,30,2018-10-11,0.31,3,252
26234,Downtown Yaletown by COMFYSUITES,109845,Alicia,,Downtown,49.27755,-123.12487,Entire home/apt,169,30,6,2018-08-31,0.22,3,71
30420,FURNISHED MODERN BACHELOR SUITE,131433,Carol,,West End,49.27795,-123.13173,Entire home/apt,89,30,1,2017-09-01,0.05,1,255
