"Station Name","ESQUIMALT HARBOUR"
"Province","BRITISH COLUMBIA"
"Latitude","48.43"
"Longitude","-123.44"
"Elevation","3.00"
"Climate Identifier","1012710"
"WMO Identifier","71798"
"TC Identifier","WPF"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2015-01-01","2015","01","01","","4.4","","-0.4","","2.0","","16.0","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-02","2015","01","02","","5.9","","1.3","","3.6","","14.4","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-03","2015","01","03","","5.9","","2.7","","4.3","","13.7","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-04","2015","01","04","","7.5","","4.4","","6.0","","12.0","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-05","2015","01","05","","12.1","","6.9","","9.5","","8.5","","0.0","","","M","","M","28.6","","","","22","","33",""
"2015-01-06","2015","01","06","","10.7","","6.8","","8.8","","9.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"2015-01-07","2015","01","07","","7.4","","5.2","","6.3","","11.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2015-01-08","2015","01","08","","10.9","","4.2","","7.6","","10.4","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-09","2015","01","09","","9.5","","5.9","","7.7","","10.3","","0.0","","","M","","M","0.8","","","","","","<31",""
"2015-01-10","2015","01","10","","7.5","","6.3","","6.9","","11.1","","0.0","","","M","","M","2.6","","","","","","<31",""
"2015-01-11","2015","01","11","","7.6","","6.7","","7.2","","10.8","","0.0","","","M","","M","0.6","","","","","","<31",""
"2015-01-12","2015","01","12","","8.4","","5.9","","7.2","","10.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"2015-01-13","2015","01","13","","7.1","","4.5","","5.8","","12.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"2015-01-14","2015","01","14","","7.0","","3.8","","5.4","","12.6","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-15","2015","01","15","","9.0","","2.6","","5.8","","12.2","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-16","2015","01","16","","11.7","","5.6","","8.7","","9.3","","0.0","","","M","","M","0.2","","","","21","","57",""
"2015-01-17","2015","01","17","","7.9","","5.6","","6.8","","11.2","","0.0","","","M","","M","8.8","","","","36","","32",""
"2015-01-18","2015","01","18","","11.8","","7.1","","9.5","","8.5","","0.0","","","M","","M","15.6","","","","24","","87",""
"2015-01-19","2015","01","19","","9.9","","4.5","","7.2","","10.8","","0.0","","","M","","M","4.6","","","","23","","32",""
"2015-01-20","2015","01","20","","7.9","","2.9","","5.4","","12.6","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-21","2015","01","21","","7.3","","2.9","","5.1","","12.9","","0.0","","","M","","M","","M","","","","","<31",""
"2015-01-22","2015","01","22","","8.8","","5.2","","7.0","","11.0","","0.0","","","M","","M","4.8","","","","","","<31",""
"2015-01-23","2015","01","23","","12.7","","8.5","","10.6","","7.4","","0.0","","","M","","M","12.4","","","","","","<31",""
"2015-01-24","2015","01","24","","13.4","","9.0","","11.2","","6.8","","0.0","","","M","","M","4.8","","","","22","","33",""
"2015-01-25","2015","01","25","","12.1","","6.9","","9.5","","8.5","","0.0","","","M","","M","0.4","","","","","","<31",""
"2015-01-26","2015","01","26","","8.9","","5.7","","7.3","","10.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2015-01-27","2015","01","27","","11.7","","6.3","","9.0","","9.0","","0.0","","","M","","M","0.2","","","","","","<31",""
