"Station Name","ESQUIMALT HARBOUR"
"Province","BRITISH COLUMBIA"
"Current Station Operator","Environment and Climate Change Canada - Meteorological Service of Canada"
"Latitude","48.43"
"Longitude","-123.44"
"Elevation","3.00"
"Climate Identifier","1012710"
"WMO Identifier","71798"
"TC Identifier","WPF"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2019-01-01","2019","01","01","","6.4","","2.0","","4.2","","13.8","","0.0","","","","","M","0.0","","","","","","",""
"2019-01-02","2019","01","02","","5.8","","3.5","","4.7","","13.3","","0.0","","","","","M","7.4","","","","","","",""
"2019-01-03","2019","01","03","","10.4","","5.6","","8.0","","10.0","","0.0","","","","","M","57.6","","","","26","","36",""
"2019-01-04","2019","01","04","","11.1","","6.6","","8.8","","9.2","","0.0","","","","","M","2.4","","","","20","","40",""
"2019-01-05","2019","01","05","","9.4","","6.7","","8.0","","10.0","","0.0","","","","","M","0.0","","","","","","",""
"2019-01-06","2019","01","06","","8.7","","4.3","","6.5","","11.5","","0.0","","","","","M","6.0","","","","22","","74",""
"2019-01-07","2019","01","07","","7.0","","1.3","","4.1","","13.9","","0.0","","","","","M","0.0","","","","25","","36",""
"2019-01-08","2019","01","08","","7.0","","4.1","","5.5","","12.5","","0.0","","","","","M","0.2","","","","2","","47",""
"2019-01-09","2019","01","09","","10.0","","4.9","","7.4","","10.6","","0.0","","","","","M","0.2","","","","7","","37",""
"2019-01-10","2019","01","10","","10.8","","7.3","","9.0","","9.0","","0.0","","","","","M","1.2","","","","","","",""
"2019-01-11","2019","01","11","","10.9","","7.9","","9.4","","8.6","","0.0","","","","","M","0.0","","","","","","",""
"2019-01-12","2019","01","12","","10.9","","6.0","","8.4","","9.6","","0.0","","","","","M","0.0","","","","","","",""
"2019-01-13","2019","01","13","","11.7","","3.9","","7.8","","10.2","","0.0","","","","","M","0.0","","","","","","",""
"2019-01-14","2019","01","14","","9.7","","3.1","","6.4","","11.6","","0.0","","","","","M","0.0","","","","2","","33",""
"2019-01-15","2019","01","15","","8.6","","3.5","","6.0","","12.0","","0.0","","","","","M","0.0","","","","","","",""
"2019-01-16","2019","01","16","","7.7","","4.1","","5.9","","12.1","","0.0","","","","","M","0.0","","","","1","","34",""
"2019-01-17","2019","01","17","","10.5","","5.9","","8.2","","9.8","","0.0","","","","","M","4.0","","","","2","","34",""
"2019-01-18","2019","01","18","","9.8","","6.9","","8.4","","9.6","","0.0","","","","","M","3.0","","","","9","","41",""
"2019-01-19","2019","01","19","","11.0","","5.9","","8.5","","9.5","","0.0","","","","","M","2.6","","","","20","","50",""
"2019-01-20","2019","01","20","","9.1","","2.7","","5.9","","12.1","","0.0","","","","","M","0.0","","","","","","",""
"2019-01-21","2019","01","21","","8.4","","1.8","","5.1","","12.9","","0.0","","","","","M","0.6","","","","","","",""
"2019-01-22","2019","01","22","","7.6","","4.6","","6.1","","11.9","","0.0","","","","","M","28.4","","","","","","",""
"2019-01-23","2019","01","23","","10.2","","6.5","","8.3","","9.7","","0.0","","","","","M","6.4","","","","22","","54",""
"2019-01-24","2019","01","24","","","M","","M","","M","","M","","M","","","","M","","M","","","","M","","M"
"2019-01-25","2019","01","25","","8.8","","4.6","","6.7","","11.3","","0.0","","","","","M","0.0","","","","","","",""
"2019-01-26","2019","01","26","","8.4","","4.0","","6.2","","11.8","","0.0","","","","","M","0.0","","","","","","",""
"2019-01-27","2019","01","27","","7.7","","5.2","","6.5","","11.5","","0.0","","","","","M","0.0","","","","","","",""
"2019-01-28","2019","01","28","","9.1","","3.2","","6.2","","11.8","","0.0","","","","","M","0.0","","","","2","","36",""
"2019-01-29","2019","01","29","","9.0","","3.6","","6.3","","11.7","","0.0","","","","","M","0.0","","","","","","",""
"2019-01-30","2019","01","30","","8.4","","2.5","","5.5","","12.5","","0.0","","","","","M","0.0","","","","","","",""
"2019-01-31","2019","01","31","","8.3","","4.5","","6.4","","11.6","","0.0","","","","","M","0.0","","","","","","",""
"2019-02-01","2019","02","01","","9.6","","6.1","","7.9","","10.1","","0.0","","","","","M","5.6","","","","26","","34",""
"2019-02-02","2019","02","02","","9.2","","4.2","","6.7","","11.3","","0.0","","","","","M","0.0","","","","26","","33",""
"2019-02-03","2019","02","03","","4.9","","-3.7","","0.6","","17.4","","0.0","","","","","M","","M","","","1","","52",""
"2019-02-04","2019","02","04","","-0.1","","-4.5","","-2.3","","20.3","","0.0","","","","","M","","","","","1","","47",""
"2019-02-05","2019","02","05","","2.2","","-3.8","","-0.8","","18.8","","0.0","","","","","M","","M","","","","","",""
"2019-02-06","2019","02","06","","2.8","","-1.9","","0.4","","17.6","","0.0","","","","","M","","M","","","","","",""
"2019-02-07","2019","02","07","","3.4","","-1.7","","0.9","","17.1","","0.0","","","","","M","","M","","","","","",""
