acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.0383,https://api.spotify.com/v1/audio-analysis/6wQYKyGePaqstYov2C1S5b,0.839,171375,0.613,6wQYKyGePaqstYov2C1S5b,0.0,2,0.323,-6.457,1,0.0463,125.011,4,https://api.spotify.com/v1/tracks/6wQYKyGePaqstYov2C1S5b,audio_features,spotify:track:6wQYKyGePaqstYov2C1S5b,0.667
0.0145,https://api.spotify.com/v1/audio-analysis/0byab45cmZntz74RxcASrf,0.733,223533,0.839,0byab45cmZntz74RxcASrf,0.000187,1,0.162,-2.84,0,0.0335,126.009,4,https://api.spotify.com/v1/tracks/0byab45cmZntz74RxcASrf,audio_features,spotify:track:0byab45cmZntz74RxcASrf,0.471
0.0534,https://api.spotify.com/v1/audio-analysis/40xLrjniJVkxuWbka7KavC,0.732,212788,0.785,40xLrjniJVkxuWbka7KavC,4.81e-05,0,0.388,-5.081,1,0.047,121.987,4,https://api.spotify.com/v1/tracks/40xLrjniJVkxuWbka7KavC,audio_features,spotify:track:40xLrjniJVkxuWbka7KavC,0.256
0.0933,https://api.spotify.com/v1/audio-analysis/3FClUxQc36bQc6kNlXzadI,0.761,203976,0.696,3FClUxQc36bQc6kNlXzadI,0.168,6,0.158,-6.837,1,0.127,124.002,4,https://api.spotify.com/v1/tracks/3FClUxQc36bQc6kNlXzadI,audio_features,spotify:track:3FClUxQc36bQc6kNlXzadI,0.664
0.31,https://api.spotify.com/v1/audio-analysis/2yuoF9C4QF9kCsoDf3yUHP,0.876,209634,0.741,2yuoF9C4QF9kCsoDf3yUHP,0.0185,11,0.11,-4.836,0,0.0435,122.967,4,https://api.spotify.com/v1/tracks/2yuoF9C4QF9kCsoDf3yUHP,audio_features,spotify:track:2yuoF9C4QF9kCsoDf3yUHP,0.695
0.0355,https://api.spotify.com/v1/audio-analysis/1cvV7wnlnfLbRqTtOXb3ea,0.778,167319,0.709,1cvV7wnlnfLbRqTtOXb3ea,1.78e-05,1,0.153,-6.51,0,0.0416,118.003,4,https://api.spotify.com/v1/tracks/1cvV7wnlnfLbRqTtOXb3ea,audio_features,spotify:track:1cvV7wnlnfLbRqTtOXb3ea,0.264
0.00191,https://api.spotify.com/v1/audio-analysis/6xNFuMfZKk0itLO2qAqBJq,0.705,276480,0.745,6xNFuMfZKk0itLO2qAqBJq,0.00134,7,0.142,-4.374,1,0.0379,124.996,4,https://api.spotify.com/v1/tracks/6xNFuMfZKk0itLO2qAqBJq,audio_features,spotify:track:6xNFuMfZKk0itLO2qAqBJq,0.507
0.132,https://api.spotify.com/v1/audio-analysis/7HEzvBAUrPR4XgZ7wW6K2Q,0.781,181000,0.799,7HEzvBAUrPR4XgZ7wW6K2Q,1.91e-05,2,0.102,-4.915,1,0.0643,120.013,4,https://api.spotify.com/v1/tracks/7HEzvBAUrPR4XgZ7wW6K2Q,audio_features,spotify:track:7HEzvBAUrPR4XgZ7wW6K2Q,0.264
0.0506,https://api.spotify.com/v1/audio-analysis/53hNIcq8OLj9OUNvQ4ulFM,0.754,194872,0.824,53hNIcq8OLj9OUNvQ4ulFM,7.92e-06,5,0.108,-2.453,0,0.039,116.978,4,https://api.spotify.com/v1/tracks/53hNIcq8OLj9OUNvQ4ulFM,audio_features,spotify:track:53hNIcq8OLj9OUNvQ4ulFM,0.613
0.216,https://api.spotify.com/v1/audio-analysis/0BOEuUKoHdy8in20fG5smd,0.893,169324,0.456,0BOEuUKoHdy8in20fG5smd,0.0,9,0.326,-5.82,1,0.167,108.037,4,https://api.spotify.com/v1/tracks/0BOEuUKoHdy8in20fG5smd,audio_features,spotify:track:0BOEuUKoHdy8in20fG5smd,0.681
